,Skiing Interest,Water Park Interest
2013-05-05,7,0
2013-05-06,7,0
2013-05-07,7,0
2013-05-08,7,0
2013-05-09,7,0
2013-05-10,7,0
2013-05-11,7,0
2013-05-12,8,17
2013-05-13,8,17
2013-05-14,8,17
2013-05-15,8,17
2013-05-16,8,17
2013-05-17,8,17
2013-05-18,8,17
2013-05-19,5,23
2013-05-20,5,23
2013-05-21,5,23
2013-05-22,5,23
2013-05-23,5,23
2013-05-24,5,23
2013-05-25,5,23
2013-05-26,4,31
2013-05-27,4,31
2013-05-28,4,31
2013-05-29,4,31
2013-05-30,4,31
2013-05-31,4,31
2013-06-01,4,31
2013-06-02,4,34
2013-06-03,4,34
2013-06-04,4,34
2013-06-05,4,34
2013-06-06,4,34
2013-06-07,4,34
2013-06-08,4,34
2013-06-09,5,27
2013-06-10,5,27
2013-06-11,5,27
2013-06-12,5,27
2013-06-13,5,27
2013-06-14,5,27
2013-06-15,5,27
2013-06-16,6,51
2013-06-17,6,51
2013-06-18,6,51
2013-06-19,6,51
2013-06-20,6,51
2013-06-21,6,51
2013-06-22,6,51
2013-06-23,5,78
2013-06-24,5,78
2013-06-25,5,78
2013-06-26,5,78
2013-06-27,5,78
2013-06-28,5,78
2013-06-29,5,78
2013-06-30,8,93
2013-07-01,8,93
2013-07-02,8,93
2013-07-03,8,93
2013-07-04,8,93
2013-07-05,8,93
2013-07-06,8,93
2013-07-07,7,69
2013-07-08,7,69
2013-07-09,7,69
2013-07-10,7,69
2013-07-11,7,69
2013-07-12,7,69
2013-07-13,7,69
2013-07-14,9,100
2013-07-15,9,100
2013-07-16,9,100
2013-07-17,9,100
2013-07-18,9,100
2013-07-19,9,100
2013-07-20,9,100
2013-07-21,6,64
2013-07-22,6,64
2013-07-23,6,64
2013-07-24,6,64
2013-07-25,6,64
2013-07-26,6,64
2013-07-27,6,64
2013-07-28,8,62
2013-07-29,8,62
2013-07-30,8,62
2013-07-31,8,62
2013-08-01,8,62
2013-08-02,8,62
2013-08-03,8,62
2013-08-04,11,60
2013-08-05,11,60
2013-08-06,11,60
2013-08-07,11,60
2013-08-08,11,60
2013-08-09,11,60
2013-08-10,11,60
2013-08-11,6,31
2013-08-12,6,31
2013-08-13,6,31
2013-08-14,6,31
2013-08-15,6,31
2013-08-16,6,31
2013-08-17,6,31
2013-08-18,7,50
